index,joint_angle_weight,joint_velocity_weight,input_weight,Q_diagonal,R,K,closed_loop_eigenvalues,dare_success,spectral_radius,dare_residual_norm,safe_gate,approach_tip_improvement,score,approach_x_rmse,crosswind_x_rmse,approach_tip_rms,crosswind_tip_rms
1,20.0,3.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0]",[[0.5]],"[5.679948196453383,7.3298980478539235,-3.600358202333283e-15,-1.3303642117887126e-16,31.01503537550532,6.498237307208427,-6.6947895373309265,1.8442766839391203,4.06085140940188,3.2672550701769945,1.7382583997994947,3.559601421528814,2.8014047225116583,2.033973606369446,1.3154408812268585,0.6618249413283799]","[{""real"":0.20103376558984137,""imag"":0.0,""abs"":0.20103376558984137},{""real"":0.01657160006279931,""imag"":0.0,""abs"":0.01657160006279931},{""real"":0.007418611858382973,""imag"":0.0,""abs"":0.007418611858382973},{""real"":0.006183842012284018,""imag"":0.0,""abs"":0.006183842012284018},{""real"":0.7836362789697036,""imag"":0.2143262143529386,""abs"":0.812417099694698},{""real"":0.7836362789697036,""imag"":-0.2143262143529386,""abs"":0.812417099694698},{""real"":0.9819947012179175,""imag"":0.09028764512045333,""abs"":0.986136629520202},{""real"":0.9819947012179175,""imag"":-0.09028764512045333,""abs"":0.986136629520202},{""real"":0.8807456321241701,""imag"":0.0,""abs"":0.8807456321241701},{""real"":0.9189069657438503,""imag"":0.049096493918528585,""abs"":0.9202176250255489},{""real"":0.9189069657438503,""imag"":-0.049096493918528585,""abs"":0.9202176250255489},{""real"":0.931404162907798,""imag"":0.0,""abs"":0.931404162907798},{""real"":0.9745788666549108,""imag"":0.0,""abs"":0.9745788666549108},{""real"":0.9688501986048242,""imag"":0.0,""abs"":0.9688501986048242},{""real"":0.914670774383525,""imag"":0.0442880170384386,""abs"":0.9157423513000555},{""real"":0.914670774383525,""imag"":-0.0442880170384386,""abs"":0.9157423513000555}]",True,0.9861366295202021,1.7380677363653037e-11,False,True,0.4855386031441532,0.12295416160940996,0.11438593342904334,0.15183331444014708,0.04764741852975159
2,20.0,3.0,1.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0]",[[1.0]],"[4.0967288722735535,5.733731107698003,7.589810972620153e-15,-2.8928144016534127e-17,25.533043341378956,6.189338737012966,-7.281937243350542,1.1815783925245753,3.3553356987364547,2.7284539635607845,1.4544320003160862,3.6583434742270846,2.9011953531141104,2.1255333527220683,1.3871058580980773,0.7046732155540748]","[{""real"":0.20180172106341282,""imag"":0.0,""abs"":0.20180172106341282},{""real"":0.01656770315247305,""imag"":0.0,""abs"":0.01656770315247305},{""real"":0.00741787056554448,""imag"":0.0,""abs"":0.00741787056554448},{""real"":0.006183726331752685,""imag"":0.0,""abs"":0.006183726331752685},{""real"":0.7882361852349815,""imag"":0.21726716033957427,""abs"":0.8176315201090393},{""real"":0.7882361852349815,""imag"":-0.21726716033957427,""abs"":0.8176315201090393},{""real"":0.9827327597924065,""imag"":0.08751871104716388,""abs"":0.9866221171008466},{""real"":0.9827327597924065,""imag"":-0.08751871104716388,""abs"":0.9866221171008466},{""real"":0.8792599882180738,""imag"":0.0,""abs"":0.8792599882180738},{""real"":0.9300596154029285,""imag"":0.04505648592502518,""abs"":0.9311503504415145},{""real"":0.9300596154029285,""imag"":-0.04505648592502518,""abs"":0.9311503504415145},{""real"":0.9318388497837362,""imag"":0.0,""abs"":0.9318388497837362},{""real"":0.9745807968639351,""imag"":0.0,""abs"":0.9745807968639351},{""real"":0.9688502093920307,""imag"":0.0,""abs"":0.9688502093920307},{""real"":0.9146707743835242,""imag"":0.044288017038438494,""abs"":0.9157423513000548},{""real"":0.9146707743835242,""imag"":-0.044288017038438494,""abs"":0.9157423513000548}]",True,0.9866221171008466,3.785575192560231e-11,False,True,0.3926912181700937,0.13938456529558876,0.13535312426897567,0.13971625725774572,0.047625072810021526
3,20.0,3.0,2.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,3.0]",[[2.0]],"[2.940104787702546,4.475186045295324,5.89039304233404e-15,-7.675976798826309e-16,20.717443206349575,5.746160890904528,-7.944577671801433,0.4293099666141586,2.559792478291737,2.123313463516843,1.1346509474316262,3.55425317555845,2.8319338857671346,2.084997390513112,1.3672741699755129,0.6982642035558804]","[{""real"":0.20218626498117928,""imag"":0.0,""abs"":0.20218626498117928},{""real"":0.016565757384275438,""imag"":0.0,""abs"":0.016565757384275438},{""real"":0.007417500044625286,""imag"":0.0,""abs"":0.007417500044625286},{""real"":0.006183668452195542,""imag"":0.0,""abs"":0.006183668452195542},{""real"":0.790674528706017,""imag"":0.21873087667288366,""abs"":0.8203715053282692},{""real"":0.790674528706017,""imag"":-0.21873087667288366,""abs"":0.8203715053282692},{""real"":0.9837566097050512,""imag"":0.08472075616960215,""abs"":0.9873979307575673},{""real"":0.9837566097050512,""imag"":-0.08472075616960215,""abs"":0.9873979307575673},{""real"":0.8784784382557342,""imag"":0.0,""abs"":0.8784784382557342},{""real"":0.9396032006490908,""imag"":0.04119396237127893,""abs"":0.9405057773378438},{""real"":0.9396032006490908,""imag"":-0.04119396237127893,""abs"":0.9405057773378438},{""real"":0.9323619089574084,""imag"":0.0,""abs"":0.9323619089574084},{""real"":0.9745846295724484,""imag"":0.0,""abs"":0.9745846295724484},{""real"":0.9688502305955301,""imag"":0.0,""abs"":0.9688502305955301},{""real"":0.9146707743835244,""imag"":0.044288017038439084,""abs"":0.915742351300055},{""real"":0.9146707743835244,""imag"":-0.044288017038439084,""abs"":0.915742351300055}]",True,0.9873979307575672,2.150393154881656e-10,False,True,0.3058284754236079,0.15664392205923466,0.16047302311757286,0.13232377441454865,0.04755100351241703
4,20.0,6.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,6.0]",[[0.5]],"[5.615743534272052,7.320738077226272,-4.302687785159798e-14,-7.020516021726264e-15,31.491261922858875,6.811910585933821,-6.929552539083706,1.597494977347722,3.8288069321994365,3.0877139630932944,1.640353320333565,3.665452008195027,2.8634906745025575,2.0654155365021096,1.3290630182298728,0.665676581865873]","[{""real"":0.19972698709545045,""imag"":0.0,""abs"":0.19972698709545045},{""real"":0.016579860083500864,""imag"":0.0,""abs"":0.016579860083500864},{""real"":0.007420116801791815,""imag"":0.0,""abs"":0.007420116801791815},{""real"":0.006184076264359362,""imag"":0.0,""abs"":0.006184076264359362},{""real"":0.7773824557225298,""imag"":0.20951318184703205,""abs"":0.8051206467560366},{""real"":0.7773824557225298,""imag"":-0.20951318184703205,""abs"":0.8051206467560366},{""real"":0.9817660925003565,""imag"":0.08982080415332931,""abs"":0.9858663384263453},{""real"":0.9817660925003565,""imag"":-0.08982080415332931,""abs"":0.9858663384263453},{""real"":0.8816162637614291,""imag"":0.0,""abs"":0.8816162637614291},{""real"":0.9191996389010623,""imag"":0.04919438873188491,""abs"":0.9205151079903833},{""real"":0.9191996389010623,""imag"":-0.04919438873188491,""abs"":0.9205151079903833},{""real"":0.9314074304032105,""imag"":0.0,""abs"":0.9314074304032105},{""real"":0.9745788668336595,""imag"":0.0,""abs"":0.9745788668336595},{""real"":0.9688501986085204,""imag"":0.0,""abs"":0.9688501986085204},{""real"":0.9146707743835241,""imag"":0.044288017038438765,""abs"":0.9157423513000545},{""real"":0.9146707743835241,""imag"":-0.044288017038438765,""abs"":0.9157423513000545}]",True,0.9858663384263455,2.5183848926548422e-11,False,True,0.46828126854987573,0.1260621365566267,0.1174006698868121,0.15021036827840256,0.04764395525874243
5,20.0,6.0,1.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,6.0]",[[1.0]],"[4.071873313043848,5.731072050294055,-3.961756465507421e-14,-4.896108081427306e-15,25.760976978958542,6.355611295300803,-7.422997185283246,1.0368984264576027,3.2263612639030974,2.631221664933404,1.4016156165074254,3.7092936994877235,2.9291111600622597,2.1377959738364596,1.3909477866670528,0.7047154316715407]","[{""real"":0.2011458528196723,""imag"":0.0,""abs"":0.2011458528196723},{""real"":0.016571822605519707,""imag"":0.0,""abs"":0.016571822605519707},{""real"":0.007418622604309535,""imag"":0.0,""abs"":0.007418622604309535},{""real"":0.006183843627720546,""imag"":0.0,""abs"":0.006183843627720546},{""real"":0.7848299612462668,""imag"":0.2148058620261456,""abs"":0.8136950451063422},{""real"":0.7848299612462668,""imag"":-0.2148058620261456,""abs"":0.8136950451063422},{""real"":0.9825765897222296,""imag"":0.08723802563937232,""abs"":0.9864417001463506},{""real"":0.9825765897222296,""imag"":-0.08723802563937232,""abs"":0.9864417001463506},{""real"":0.8797323318497358,""imag"":0.0,""abs"":0.8797323318497358},{""real"":0.9301491004562423,""imag"":0.045066448096863145,""abs"":0.9312402127397764},{""real"":0.9301491004562423,""imag"":-0.045066448096863145,""abs"":0.9312402127397764},{""real"":0.9318416565031429,""imag"":0.0,""abs"":0.9318416565031429},{""real"":0.974580797042233,""imag"":0.0,""abs"":0.974580797042233},{""real"":0.9688502093957088,""imag"":0.0,""abs"":0.9688502093957088},{""real"":0.914670774383525,""imag"":0.04428801703843939,""abs"":0.9157423513000555},{""real"":0.914670774383525,""imag"":-0.04428801703843939,""abs"":0.9157423513000555}]",True,0.9864417001463506,3.196069688658366e-11,False,True,0.38350642995535345,0.14138562630045678,0.13731069165287293,0.13915862232885565,0.047619780980762694
6,20.0,6.0,2.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,6.0,6.0,6.0,6.0,6.0]",[[2.0]],"[2.9307803655844213,4.4744566516518685,-3.560854046348877e-14,-3.987660076517371e-15,20.821966340249332,5.8312481041710935,-8.023804984459744,0.34987792551605246,2.492535835678562,2.0738089587433985,1.1078464695974133,3.577747929830836,2.843755819592056,2.089141513583352,1.3676352956557474,0.6973517131997738]","[{""real"":0.20185772707503122,""imag"":0.0,""abs"":0.20185772707503122},{""real"":0.016567814480307155,""imag"":0.0,""abs"":0.016567814480307155},{""real"":0.0074178759557034435,""imag"":0.0,""abs"":0.0074178759557034435},{""real"":0.006183727142715002,""imag"":0.0,""abs"":0.006183727142715002},{""real"":0.7888908861719501,""imag"":0.21748584341030025,""abs"":0.8183207942910008},{""real"":0.7888908861719501,""imag"":-0.21748584341030025,""abs"":0.8183207942910008},{""real"":0.9836520090787741,""imag"":0.0845615436635043,""abs"":0.987280066461115},{""real"":0.9836520090787741,""imag"":-0.0845615436635043,""abs"":0.987280066461115},{""real"":0.8787224761898166,""imag"":0.0,""abs"":0.8787224761898166},{""real"":0.9396284390186561,""imag"":0.04119024541615967,""abs"":0.9405308286973265},{""real"":0.9396284390186561,""imag"":-0.04119024541615967,""abs"":0.9405308286973265},{""real"":0.9323641118632326,""imag"":0.0,""abs"":0.9323641118632326},{""real"":0.9745846297498548,""imag"":0.0,""abs"":0.9745846297498548},{""real"":0.9688502305991703,""imag"":0.0,""abs"":0.9688502305991703},{""real"":0.9146707743835245,""imag"":0.044288017038439174,""abs"":0.9157423513000551},{""real"":0.9146707743835245,""imag"":-0.044288017038439174,""abs"":0.9157423513000551}]",True,0.987280066461115,9.146194698921892e-11,False,True,0.3009501992074726,0.15789006298289598,0.16170194142032604,0.13216708190560764,0.04754367340563229
7,20.0,12.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0,12.0]",[[0.5]],"[5.497999266965675,7.297639310485044,-2.923436351681739e-14,-4.773899919966559e-15,32.308004336579195,7.378839641935017,-7.378052743353723,1.1281216131005434,3.389018219242363,2.748543451000104,1.4558669627426357,3.8584083863679735,2.9776009394432625,2.124398058675467,1.3557577902910651,0.6741004110031255]","[{""real"":0.19713413707428667,""imag"":0.0,""abs"":0.19713413707428667},{""real"":0.016596464003877626,""imag"":0.0,""abs"":0.016596464003877626},{""real"":0.007423129864705684,""imag"":0.0,""abs"":0.007423129864705684},{""real"":0.006184543359992582,""imag"":0.0,""abs"":0.006184543359992582},{""real"":0.7661762693990963,""imag"":0.20041568801108456,""abs"":0.7919548748453241},{""real"":0.7661762693990963,""imag"":-0.20041568801108456,""abs"":0.7919548748453241},{""real"":0.9813793814834826,""imag"":0.08896753543688256,""abs"":0.985403832325923},{""real"":0.9813793814834826,""imag"":-0.08896753543688256,""abs"":0.985403832325923},{""real"":0.8832527348382504,""imag"":0.0,""abs"":0.8832527348382504},{""real"":0.919770617176749,""imag"":0.04935827365918158,""abs"":0.9210940383046199},{""real"":0.919770617176749,""imag"":-0.04935827365918158,""abs"":0.9210940383046199},{""real"":0.9314139742302137,""imag"":0.0,""abs"":0.9314139742302137},{""real"":0.9745788671911569,""imag"":0.0,""abs"":0.9745788671911569},{""real"":0.9688501986159134,""imag"":0.0,""abs"":0.9688501986159134},{""real"":0.9146707743835252,""imag"":0.0442880170384381,""abs"":0.9157423513000557},{""real"":0.9146707743835252,""imag"":-0.0442880170384381,""abs"":0.9157423513000557}]",True,0.985403832325923,2.2623054642542956e-11,False,True,0.43831243662521857,0.131743111078983,0.12293754767407605,0.14751160614395017,0.047640220948426175
8,20.0,12.0,1.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0,12.0]",[[1.0]],"[4.024584001920271,5.724304998691066,-2.502281469299593e-14,-4.1132411676375016e-15,26.177789480573146,6.668726880447404,-7.697790374078475,0.75553257242256,2.975335865735854,2.4420100776739617,1.2989578038241847,3.8053137248416693,2.9818761245901726,2.1612363607752973,1.3986036576140883,0.705131730879186]","[{""real"":0.19983910783232933,""imag"":0.0,""abs"":0.19983910783232933},{""real"":0.016580082344557347,""imag"":0.0,""abs"":0.016580082344557347},{""real"":0.007420127477222656,""imag"":0.0,""abs"":0.007420127477222656},{""real"":0.006184077866615528,""imag"":0.0,""abs"":0.006184077866615528},{""real"":0.7784251337753882,""imag"":0.21003415243368628,""abs"":0.8062630055272089},{""real"":0.7784251337753882,""imag"":-0.21003415243368628,""abs"":0.8062630055272089},{""real"":0.982294832660727,""imag"":0.08670594736560275,""abs"":0.9861141209720772},{""real"":0.982294832660727,""imag"":-0.08670594736560275,""abs"":0.9861141209720772},{""real"":0.880651910099003,""imag"":0.0,""abs"":0.880651910099003},{""real"":0.9303255600347761,""imag"":0.04508358410536642,""abs"":0.9314172948844173},{""real"":0.9303255600347761,""imag"":-0.04508358410536642,""abs"":0.9314172948844173},{""real"":0.9318472755400969,""imag"":0.0,""abs"":0.9318472755400969},{""real"":0.9745807973988314,""imag"":0.0,""abs"":0.9745807973988314},{""real"":0.9688502094030637,""imag"":0.0,""abs"":0.9688502094030637},{""real"":0.9146707743835243,""imag"":0.044288017038438356,""abs"":0.9157423513000549},{""real"":0.9146707743835243,""imag"":-0.044288017038438356,""abs"":0.9157423513000549}]",True,0.9861141209720771,6.21843791326116e-11,False,True,0.3665901092608528,0.14517488573330137,0.14103395234182575,0.13817151619234208,0.0476108084754001
9,20.0,12.0,2.0,"[20.0,4.0,8.0,2.0,4.0,1.0,20.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0,12.0]",[[2.0]],"[2.9126341450197932,4.472605126377741,-1.775837497638709e-14,-3.9240458083520115e-15,21.020625280511574,5.995634364469973,-8.180072032528324,0.19328527859184655,2.3596571597823006,1.9759092611984261,1.0548644887765761,3.6229623384431187,2.866467967001288,2.0970926950004265,1.3683414342425149,0.6956233546361834]","[{""real"":0.2012018748372042,""imag"":0.0,""abs"":0.2012018748372042},{""real"":0.016571933863637835,""imag"":0.0,""abs"":0.016571933863637835},{""real"":0.0074186279768755185,""imag"":0.0,""abs"":0.0074186279768755185},{""real"":0.006183844435379114,""imag"":0.0,""abs"":0.006183844435379114},{""real"":0.7854393088621701,""imag"":0.2150364032180819,""abs"":0.8143436391443436},{""real"":0.7854393088621701,""imag"":-0.2150364032180819,""abs"":0.8143436391443436},{""real"":0.9834549404812714,""imag"":0.08425246872198155,""abs"":0.9870572923811309},{""real"":0.9834549404812714,""imag"":-0.08425246872198155,""abs"":0.9870572923811309},{""real"":0.8792045981983224,""imag"":0.0,""abs"":0.8792045981983224},{""real"":0.939678577379065,""imag"":0.04118267234558312,""abs"":0.9405805873430874},{""real"":0.939678577379065,""imag"":-0.04118267234558312,""abs"":0.9405805873430874},{""real"":0.9323685206445371,""imag"":0.0,""abs"":0.9323685206445371},{""real"":0.9745846301046652,""imag"":0.0,""abs"":0.9745846301046652},{""real"":0.9688502306064507,""imag"":0.0,""abs"":0.9688502306064507},{""real"":0.9146707743835246,""imag"":0.04428801703844023,""abs"":0.9157423513000552},{""real"":0.9146707743835246,""imag"":-0.04428801703844023,""abs"":0.9157423513000552}]",True,0.9870572923811309,1.8988304781552026e-10,False,True,0.2916082112819164,0.16030277464187734,0.16409121429289214,0.13187725253478133,0.04753003666852377
10,40.0,3.0,0.5,"[20.0,4.0,8.0,2.0,4.0,1.0,40.0,40.0,40.0,40.0,40.0,3.0,3.0,3.0,3.0,3.0]",[[0.5]],"[5.667562295004609,7.380172136477608,9.310767313623178e-15,9.353406045746572e-15,31.76861413757919,6.805148790236092,-6.62880723161892,1.8893374474449698,4.103211067126492,3.307917660237833,1.7614152714424864,3.793591903357225,2.984799690791966,2.1685378049169013,1.403930362913339,0.7071923145642786]","[{""real"":0.2010469682674461,""imag"":0.0,""abs"":0.2010469682674461},{""real"":0.016571584545054658,""imag"":0.0,""abs"":0.016571584545054658},{""real"":0.007418608430480225,""imag"":0.0,""abs"":0.007418608430480225},{""real"":0.006183841461468845,""imag"":0.0,""abs"":0.006183841461468845},{""real"":0.7827244571015486,""imag"":0.21506748977728188,""abs"":0.8117337007319674},{""real"":0.7827244571015486,""imag"":-0.21506748977728188,""abs"":0.8117337007319674},{""real"":0.981317966450987,""imag"":0.08955154134349921,""abs"":0.9853955702338513},{""real"":0.981317966450987,""imag"":-0.08955154134349921,""abs"":0.9853955702338513},{""real"":0.879783896452032,""imag"":0.0,""abs"":0.879783896452032},{""real"":0.9188715865159179,""imag"":0.04855537625721553,""abs"":0.9201535834140732},{""real"":0.9188715865159179,""imag"":-0.04855537625721553,""abs"":0.9201535834140732},{""real"":0.9313931180281136,""imag"":0.0,""abs"":0.9313931180281136},{""real"":0.9745788638548606,""imag"":0.0,""abs"":0.9745788638548606},{""real"":0.968850198584355,""imag"":0.0,""abs"":0.968850198584355},{""real"":0.9146707743835246,""imag"":0.044288017038439355,""abs"":0.9157423513000552},{""real"":0.9146707743835246,""imag"":-0.044288017038439355,""abs"":0.9157423513000552}]",True,0.9853955702338512,2.6219630148270306e-11,False,True,0.4711301397027433,0.12605712983274034,0.11677958986162022,0.14920648829114816,0.047512262728323464
