source_csv,sample_count,duration_s,tip_rms_m,tip_max_abs_m,x_rmse_m,z_rmse_m,final_x_error_m,settled,settling_time_s,control_energy,control_rate,solve_time_mean_ms,solve_time_p95_ms,solve_time_max_ms,saturation_rate,finite_outputs,minimum_uav_height_m,minimum_tip_height_m,maximum_abs_joint_angle_rad,maximum_abs_roll_rad,maximum_abs_pitch_rad,maximum_abs_ax_m_s2,maximum_ax_step_change_m_s2,thrust_min_N,thrust_max_N,torque_max_abs_Nm,rotor_motor_max_abs_cmd,anchor_active_any,observer_enabled,controller_mode,seed,scenario,mode,safe,failure_reasons
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_000\run.csv.gz,2401,12.0,0.15953192631792823,0.3819082611996054,0.09959855866278232,0.0016109298050382935,-0.01347070007725204,False,,1.7788127508032734,208.01528739720823,0.011885755935027073,0.0169,0.0509,0.01665972511453561,True,3.1950205913082557,0.3781670711917882,0.0903732121138452,0.0,0.08763474792495989,1.3709097628181819,0.25000000000000006,129.43774312910003,130.41969053742596,0.8747627820360866,0.0,False,False,lqr,0,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_001\run.csv.gz,2401,12.0,0.17913150639597272,0.3985896803875494,0.10709723302648075,0.0018289446411862858,0.004980284430723181,False,,1.9859054770360471,214.48777000418676,0.0130561016243232,0.0195,0.0312,0.024989587671803416,True,3.1946042112258843,0.3770148367357124,0.09586807373992455,0.0,0.09204338078728039,1.4536198784252836,0.25000000000000006,129.38251845364545,130.46414732149967,0.8705822774015616,0.0,False,False,lqr,1,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_002\run.csv.gz,2401,12.0,0.16241677428462295,0.37936736420739614,0.1074827282960784,0.001654685961117708,-0.0224594594988754,False,,1.9433127844618967,202.38517300006023,0.012487713452728028,0.0163,0.0548,0.02082465639316951,True,3.194947171129183,0.3782332204615826,0.0868279397234093,0.0,0.08755210233026499,1.3918343501303532,0.25,129.46690513156128,130.44017331060826,0.8665810471501437,0.0,False,False,lqr,2,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_003\run.csv.gz,2401,12.0,0.1697724878293962,0.3720636078258358,0.10323538172968925,0.001600135078702306,-0.003293791861462836,False,,1.8372650520965412,195.53892473655551,0.012932528113286131,0.0182,0.061,0.012494793835901708,True,3.1952905506931644,0.3764545327043308,0.09910516615220916,0.0,0.08445558516534918,1.3389549434738712,0.25,129.42355006693546,130.48816036196746,0.8691255054021682,0.0,False,False,lqr,3,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_004\run.csv.gz,2401,12.0,0.16008956795239115,0.358246744199601,0.09979098694808615,0.0014827396178506618,-0.029857210846104376,False,,1.747977867527414,189.80375702345316,0.01286234902124115,0.0181,0.0392,0.012494793835901708,True,3.1955655359577864,0.37722407468549335,0.09090474545247595,0.0,0.08096308995460659,1.2834685691208736,0.25000000000000006,129.44680417769248,130.41126871883688,0.8701058695749366,0.0,False,False,lqr,4,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_005\run.csv.gz,2401,12.0,0.172277113808025,0.37903332559112335,0.11071850857718472,0.0016829608997416471,-0.008473925284821604,False,,1.9521428364669526,190.86697547359347,0.014768513119533526,0.0198,0.1963,0.012494793835901708,True,3.195082671605181,0.3772566363769078,0.09474772429301412,0.0,0.08697143400112438,1.3606993927774633,0.25000000000000006,129.45608621751313,130.4897696289031,0.9023452810149056,0.0,False,False,lqr,5,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_006\run.csv.gz,2401,12.0,0.16014758470604665,0.37352957873554005,0.1049151218120509,0.0015479258096154952,-0.010506452190397475,False,,1.8559976417132578,203.22320988974045,0.0130820074968763,0.0189,0.0502,0.02082465639316951,True,3.1952924109108523,0.37798052634599566,0.09293285679444825,0.0,0.08516573223138771,1.3619058483959037,0.25,129.47150271271104,130.4458759017203,0.8414984033682567,0.0,False,False,lqr,6,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_007\run.csv.gz,2401,12.0,0.16299225610204882,0.395528451654248,0.12230884366767332,0.0019307782033517542,-0.01619972306928119,False,,2.1369564401882766,203.0835826090855,0.015478925447730114,0.0227,0.0686,0.008329862557267805,True,3.194148990886833,0.37786684177288343,0.08480897678881533,0.0,0.0921712290904755,1.4753859644192866,0.25,129.48341954713314,130.4738894119661,0.8263904740939986,0.0,False,False,lqr,7,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_008\run.csv.gz,2401,12.0,0.16533923778236262,0.37936767075033095,0.09650261131216775,0.0016037612530563927,-0.010821857347190544,False,,1.7413183238805419,199.68024643127976,0.012848104956268222,0.0178,0.0509,0.012494793835901708,True,3.1951341144214136,0.3780444728169352,0.09373012880789257,0.0,0.08677078371537147,1.3550535252980416,0.25,129.46475521265805,130.40987224199964,0.8682931101907078,0.0,False,False,lqr,8,approach_stop,LQR,True,[]
D:\Desktop\my_project\Simulation of Anti-Sway Control for a UAV-Suspended Multi-Link Cutting Device under Wind Disturbances\artifacts\s5b\random\LQR\approach_stop\seed_009\run.csv.gz,2401,12.0,0.1678875849481095,0.3747972156773719,0.10526738508186664,0.001620256896613161,-0.0012531347771091994,False,,1.8760092810889861,200.74551767002728,0.012999583506872137,0.0182,0.0476,0.02082465639316951,True,3.195215093127726,0.3780018543683917,0.0949402999335443,0.0,0.08529336628148794,1.3524417502803625,0.25,129.43664558382477,130.47018152182454,0.8797760622334221,0.0,False,False,lqr,9,approach_stop,LQR,True,[]
