controller,candidate_id,scenario,final_tip_speed_m_s,tip_speed_rms_m_s,task_acquired,old_speed_gate_pass,new_speed_gate_pass,speed_gate_changed
Task-LQI,lqi_01,task_acquire_calm,0.0002444469070674718,0.07754640256779076,True,True,True,False
Task-LQI,lqi_01,task_acquire_crosswind,0.007303408947720231,0.1177175355069134,False,False,True,True
Task-LQI,lqi_02,task_acquire_calm,0.0017436479475368477,0.0880962860469706,True,True,True,False
Task-LQI,lqi_02,task_acquire_crosswind,0.017033730061253523,0.1281894446522358,False,False,True,True
Task-LQI,lqi_03,task_acquire_calm,0.002481003101665269,0.12041781510480651,True,False,True,True
Task-LQI,lqi_03,task_acquire_crosswind,0.01838667907951689,0.16104213958303193,False,False,True,True
Task-LQI,lqi_04,task_acquire_calm,0.09800156775212503,0.4604222888894445,False,False,True,True
Task-LQI,lqi_04,task_acquire_crosswind,0.02984004122925432,0.4383967586654489,False,False,True,True
ITS-RMPC,its_001,task_acquire_calm,7.814699168328485,5.836602767142852,False,False,False,False
ITS-RMPC,its_001,task_acquire_crosswind,4.849106680627859,3.2124366245699814,False,False,False,False
ITS-RMPC,its_002,task_acquire_calm,1.4997725799562145e-08,1.2913487135192908e-08,False,True,True,False
ITS-RMPC,its_002,task_acquire_crosswind,1.0416429706417556,0.5445248311145496,False,False,False,False
ITS-RMPC,its_003,task_acquire_calm,0.001922927355738365,0.08477766166950294,True,True,True,False
ITS-RMPC,its_003,task_acquire_crosswind,0.005051008093788484,0.12293935224399632,False,False,True,True
ITS-RMPC,its_004,task_acquire_calm,0.00042895060396244705,0.07819258713612781,True,True,True,False
ITS-RMPC,its_004,task_acquire_crosswind,0.006723742298693066,0.11589522622944122,False,False,True,True
ITS-RMPC,its_005,task_acquire_calm,7.814699179513715,5.836602664579101,False,False,False,False
ITS-RMPC,its_005,task_acquire_crosswind,4.8491144418631205,3.2124560482771654,False,False,False,False
ITS-RMPC,its_006,task_acquire_calm,1.5194319761088722e-08,1.4215091141183946e-08,False,True,True,False
ITS-RMPC,its_006,task_acquire_crosswind,1.0416469990143808,0.5445263187839177,False,False,False,False
ITS-RMPC,its_007,task_acquire_calm,0.01404686617400395,0.09274174602557979,True,True,True,False
